principal,pid,datetime
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.93.1,2017-08-05 16:44:39.841
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:04:04.958
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.359.1,2019-04-02 17:49:03.994
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.124.1,2017-10-02 12:46:57.818
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.352.1,2019-03-25 17:10:41.425
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.124.1,2017-10-02 12:46:58.150
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.133.1,2017-12-12 13:03:00.219
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.124.1,2017-10-02 12:46:58.482
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.124.3,2017-10-02 12:50:13.288
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.124.2,2017-10-02 12:48:29.594
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.124.3,2017-10-02 12:50:12.956
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.101.1,2017-09-08 15:14:18.766
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.124.2,2017-10-02 12:48:30.588
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.124.3,2017-10-02 12:50:12.625
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.126.1,2017-10-19 16:51:03.432
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.126.1,2017-10-19 16:51:04.748
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.30.1,2017-08-05 16:53:21.797
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.126.1,2017-10-19 16:51:03.980
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.126.2,2017-10-20 14:41:54.692
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:03:29.102
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.30.1,2017-08-05 16:53:22.116
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.133.1,2017-12-12 13:02:59.889
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.279.1,2019-03-07 14:09:54.993
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:03:59.368
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.335.1,2019-03-18 13:57:54.764
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.80.1,2017-08-05 16:26:01.064
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:03:46.700
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.1.1,2016-12-01 12:55:07.293
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.133.2,2017-12-12 14:50:06.504
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:03:25.686
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.126.2,2017-10-20 14:41:54.235
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.8.1,2017-03-05 17:43:02.845
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.80.1,2017-08-05 16:26:01.754
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.137.1,2017-12-20 16:06:45.290
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.126.2,2017-10-20 14:41:54.998
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.16.1,2017-04-27 15:46:43.330
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.133.1,2017-12-12 13:03:01.255
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:03:27.232
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:03:26.121
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.9.3,2017-03-20 15:43:14.286
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.133.1,2017-12-12 13:03:01.587
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.128.1,2017-11-20 15:36:26.113
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.118.3,2017-07-05 09:12:09.278
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:03:33.342
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.124.1,2017-10-02 12:46:57.474
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:03:27.920
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.80.1,2017-08-05 16:26:01.453
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.137.1,2017-12-20 16:06:45.729
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.137.1,2017-12-20 16:06:46.149
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:03:43.226
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:03:39.133
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.93.1,2017-08-05 16:44:39.361
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:03:52.972
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.129.1,2017-11-15 10:50:15.973
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.361.1,2019-04-09 13:46:36.365
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.129.1,2017-11-15 10:50:15.443
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.129.2,2017-11-15 11:15:21.139
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.133.1,2017-12-12 13:03:01.928
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.133.2,2017-12-12 14:50:06.835
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.361.1,2019-04-09 13:46:36.736
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:03:58.941
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.72.1,2017-08-05 16:35:50.348
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:03:59.907
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.129.2,2017-11-15 11:15:22.215
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.133.2,2017-12-12 14:50:07.839
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.337.1,2019-03-19 15:01:54.620
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.128.1,2017-11-20 15:36:17.651
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.128.1,2017-11-20 15:36:18.859
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.128.1,2017-11-20 15:36:19.450
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.133.1,2017-12-12 13:03:02.292
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:04:00.249
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.98.4,2017-11-08 16:05:18.201
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.338.1,2019-03-19 15:52:09.973
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.129.1,2017-11-15 10:50:14.337
"uid=csmith,o=EDI,dc=edirepository,dc=org",edi.354.1,2019-03-25 19:19:22.482
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.128.1,2017-11-20 15:36:25.547
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.128.1,2017-11-20 15:36:21.782
"uid=kzollovenecek,o=EDI,dc=edirepository,dc=org",edi.1035.1,2021-11-29 14:22:06.259
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.128.1,2017-11-20 15:36:21.227
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.128.1,2017-11-20 15:36:22.807
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.133.2,2017-12-12 14:50:08.169
"uid=EDI,o=EDI,dc=edirepository,dc=org",edi.128.1,2017-11-20 15:36:23.307
